,Main dimension,Subdimension,Sub-subdimension,Feature,Sub Field,Sample Size
19,Brain,MRI,GreyMatterVolumes,"Volume of grey matter in Superior Temporal Gyrus, posterior division (right)",-,41194
20,Brain,MRI,GreyMatterVolumes,"Volume of grey matter in Middle Temporal Gyrus, anterior division (left)",-,41194
21,Brain,MRI,GreyMatterVolumes,"Volume of grey matter in Middle Temporal Gyrus, anterior division (right)",-,41194
22,Brain,MRI,GreyMatterVolumes,"Volume of grey matter in Middle Temporal Gyrus, posterior division (left)",-,41194
23,Brain,MRI,GreyMatterVolumes,"Volume of grey matter in Middle Temporal Gyrus, posterior division (right)",-,41194
24,Brain,MRI,GreyMatterVolumes,"Volume of grey matter in Middle Temporal Gyrus, temporooccipital part (left)",-,41194
25,Brain,MRI,GreyMatterVolumes,"Volume of grey matter in Middle Temporal Gyrus, temporooccipital part (right)",-,41194
26,Brain,MRI,GreyMatterVolumes,"Volume of grey matter in Inferior Temporal Gyrus, anterior division (left)",-,41194
27,Brain,MRI,GreyMatterVolumes,"Volume of grey matter in Inferior Temporal Gyrus, anterior division (right)",-,41194
28,Brain,MRI,GreyMatterVolumes,"Volume of grey matter in Inferior Temporal Gyrus, posterior division (left)",-,41194
29,Brain,MRI,GreyMatterVolumes,"Volume of grey matter in Inferior Temporal Gyrus, posterior division (right)",-,41194
30,Brain,MRI,GreyMatterVolumes,"Volume of grey matter in Inferior Temporal Gyrus, temporooccipital part (left)",-,41194
31,Brain,MRI,GreyMatterVolumes,"Volume of grey matter in Inferior Temporal Gyrus, temporooccipital part (right)",-,41194
32,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Postcentral Gyrus (left),-,41194
33,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Postcentral Gyrus (right),-,41194
34,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Superior Parietal Lobule (left),-,41194
35,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Superior Parietal Lobule (right),-,41194
36,Brain,MRI,GreyMatterVolumes,"Volume of grey matter in Supramarginal Gyrus, anterior division (left)",-,41194
37,Brain,MRI,GreyMatterVolumes,"Volume of grey matter in Supramarginal Gyrus, anterior division (right)",-,41194
38,Brain,MRI,GreyMatterVolumes,"Volume of grey matter in Supramarginal Gyrus, posterior division (left)",-,41194
39,Brain,MRI,GreyMatterVolumes,"Volume of grey matter in Supramarginal Gyrus, posterior division (right)",-,41194
40,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Angular Gyrus (left),-,41194
41,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Angular Gyrus (right),-,41194
42,Brain,MRI,GreyMatterVolumes,"Volume of grey matter in Lateral Occipital Cortex, superior division (left)",-,41194
43,Brain,MRI,GreyMatterVolumes,"Volume of grey matter in Lateral Occipital Cortex, superior division (right)",-,41194
44,Brain,MRI,GreyMatterVolumes,"Volume of grey matter in Lateral Occipital Cortex, inferior division (left)",-,41194
45,Brain,MRI,GreyMatterVolumes,"Volume of grey matter in Lateral Occipital Cortex, inferior division (right)",-,41194
46,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Intracalcarine Cortex (left),-,41194
47,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Intracalcarine Cortex (right),-,41194
48,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Frontal Medial Cortex (left),-,41194
49,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Frontal Medial Cortex (right),-,41194
50,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex) (left),-,41194
51,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex) (right),-,41194
52,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Subcallosal Cortex (left),-,41194
53,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Subcallosal Cortex (right),-,41194
54,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Paracingulate Gyrus (left),-,41194
55,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Paracingulate Gyrus (right),-,41194
56,Brain,MRI,GreyMatterVolumes,"Volume of grey matter in Cingulate Gyrus, anterior division (left)",-,41194
57,Brain,MRI,GreyMatterVolumes,"Volume of grey matter in Cingulate Gyrus, anterior division (right)",-,41194
58,Brain,MRI,GreyMatterVolumes,"Volume of grey matter in Cingulate Gyrus, posterior division (left)",-,41194
59,Brain,MRI,GreyMatterVolumes,"Volume of grey matter in Cingulate Gyrus, posterior division (right)",-,41194
60,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Precuneous Cortex (left),-,41194
61,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Precuneous Cortex (right),-,41194
62,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Cuneal Cortex (left),-,41194
63,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Cuneal Cortex (right),-,41194
64,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Frontal Orbital Cortex (left),-,41194
65,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Frontal Orbital Cortex (right),-,41194
66,Brain,MRI,GreyMatterVolumes,"Volume of grey matter in Parahippocampal Gyrus, anterior division (left)",-,41194
67,Brain,MRI,GreyMatterVolumes,"Volume of grey matter in Parahippocampal Gyrus, anterior division (right)",-,41194
68,Brain,MRI,GreyMatterVolumes,"Volume of grey matter in Parahippocampal Gyrus, posterior division (left)",-,41194
69,Brain,MRI,GreyMatterVolumes,"Volume of grey matter in Parahippocampal Gyrus, posterior division (right)",-,41194
70,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Lingual Gyrus (left),-,41194
71,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Lingual Gyrus (right),-,41194
72,Brain,MRI,GreyMatterVolumes,"Volume of grey matter in Temporal Fusiform Cortex, anterior division (left)",-,41194
73,Brain,MRI,GreyMatterVolumes,"Volume of grey matter in Temporal Fusiform Cortex, anterior division (right)",-,41194
74,Brain,MRI,GreyMatterVolumes,"Volume of grey matter in Temporal Fusiform Cortex, posterior division (left)",-,41194
75,Brain,MRI,GreyMatterVolumes,"Volume of grey matter in Temporal Fusiform Cortex, posterior division (right)",-,41194
76,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Temporal Occipital Fusiform Cortex (left),-,41194
77,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Temporal Occipital Fusiform Cortex (right),-,41194
78,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Occipital Fusiform Gyrus (left),-,41194
79,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Occipital Fusiform Gyrus (right),-,41194
80,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Frontal Operculum Cortex (left),-,41194
81,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Frontal Operculum Cortex (right),-,41194
82,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Central Opercular Cortex (left),-,41194
83,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Central Opercular Cortex (right),-,41194
84,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Parietal Operculum Cortex (left),-,41194
85,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Parietal Operculum Cortex (right),-,41194
86,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Planum Polare (left),-,41194
87,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Planum Polare (right),-,41194
88,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Heschl's Gyrus (includes H1 and H2) (left),-,41194
89,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Heschl's Gyrus (includes H1 and H2) (right),-,41194
90,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Planum Temporale (left),-,41194
91,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Planum Temporale (right),-,41194
92,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Supracalcarine Cortex (left),-,41194
93,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Supracalcarine Cortex (right),-,41194
94,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Occipital Pole (left),-,41194
95,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Occipital Pole (right),-,41194
96,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Thalamus (left),-,41194
97,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Thalamus (right),-,41194
98,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Caudate (left),-,41194
99,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Caudate (right),-,41194
100,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Putamen (left),-,41194
101,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Putamen (right),-,41194
102,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Pallidum (left),-,41194
103,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Pallidum (right),-,41194
104,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Hippocampus (left),-,41194
105,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Hippocampus (right),-,41194
106,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Amygdala (left),-,41194
107,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Amygdala (right),-,41194
108,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Ventral Striatum (left),-,41194
109,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Ventral Striatum (right),-,41194
110,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Brain-Stem,-,41194
111,Brain,MRI,GreyMatterVolumes,Volume of grey matter in I-IV Cerebellum (left),-,41194
112,Brain,MRI,GreyMatterVolumes,Volume of grey matter in I-IV Cerebellum (right),-,41194
113,Brain,MRI,GreyMatterVolumes,Volume of grey matter in V Cerebellum (left),-,41194
114,Brain,MRI,GreyMatterVolumes,Volume of grey matter in V Cerebellum (right),-,41194
115,Brain,MRI,GreyMatterVolumes,Volume of grey matter in VI Cerebellum (left),-,41194
116,Brain,MRI,GreyMatterVolumes,Volume of grey matter in VI Cerebellum (vermis),-,41194
117,Brain,MRI,GreyMatterVolumes,Volume of grey matter in VI Cerebellum (right),-,41194
118,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Crus I Cerebellum (left),-,41194
119,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Crus I Cerebellum (vermis),-,41194
120,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Crus I Cerebellum (right),-,41194
121,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Crus II Cerebellum (left),-,41194
122,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Crus II Cerebellum (vermis),-,41194
123,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Crus II Cerebellum (right),-,41194
124,Brain,MRI,GreyMatterVolumes,Volume of grey matter in VIIb Cerebellum (left),-,41194
125,Brain,MRI,GreyMatterVolumes,Volume of grey matter in VIIb Cerebellum (vermis),-,41194
126,Brain,MRI,GreyMatterVolumes,Volume of grey matter in VIIb Cerebellum (right),-,41194
127,Brain,MRI,GreyMatterVolumes,Volume of grey matter in VIIIa Cerebellum (left),-,41194
128,Brain,MRI,GreyMatterVolumes,Volume of grey matter in VIIIa Cerebellum (vermis),-,41194
129,Brain,MRI,GreyMatterVolumes,Volume of grey matter in VIIIa Cerebellum (right),-,41194
130,Brain,MRI,GreyMatterVolumes,Volume of grey matter in VIIIb Cerebellum (left),-,41194
131,Brain,MRI,GreyMatterVolumes,Volume of grey matter in VIIIb Cerebellum (vermis),-,41194
132,Brain,MRI,GreyMatterVolumes,Volume of grey matter in VIIIb Cerebellum (right),-,41194
133,Brain,MRI,GreyMatterVolumes,Volume of grey matter in IX Cerebellum (left),-,41194
134,Brain,MRI,GreyMatterVolumes,Volume of grey matter in IX Cerebellum (vermis),-,41194
135,Brain,MRI,GreyMatterVolumes,Volume of grey matter in IX Cerebellum (right),-,41194
136,Brain,MRI,GreyMatterVolumes,Volume of grey matter in X Cerebellum (left),-,41194
137,Brain,MRI,GreyMatterVolumes,Volume of grey matter in X Cerebellum (vermis),-,41194
138,Brain,MRI,GreyMatterVolumes,Volume of grey matter in X Cerebellum (right),-,41194
139,Brain,MRI,SubcorticalVolumes,Volume of thalamus (left),-,41182
140,Brain,MRI,SubcorticalVolumes,Volume of thalamus (right),-,41182
141,Brain,MRI,SubcorticalVolumes,Volume of caudate (left),-,41182
142,Brain,MRI,SubcorticalVolumes,Volume of caudate (right),-,41182
143,Brain,MRI,SubcorticalVolumes,Volume of putamen (left),-,41182
144,Brain,MRI,SubcorticalVolumes,Volume of putamen (right),-,41182
145,Brain,MRI,SubcorticalVolumes,Volume of pallidum (left),-,41182
146,Brain,MRI,SubcorticalVolumes,Volume of pallidum (right),-,41182
147,Brain,MRI,SubcorticalVolumes,Volume of hippocampus (left),-,41182
148,Brain,MRI,SubcorticalVolumes,Volume of hippocampus (right),-,41182
149,Brain,MRI,SubcorticalVolumes,Volume of amygdala (left),-,41182
150,Brain,MRI,SubcorticalVolumes,Volume of amygdala (right),-,41182
151,Brain,MRI,SubcorticalVolumes,Volume of accumbens (left),-,41182
152,Brain,MRI,SubcorticalVolumes,Volume of accumbens (right),-,41182
153,Brain,MRI,dMRIWeightedMeans,Weighted-mean FA in tract acoustic radiation (left),-,38933
154,Brain,MRI,dMRIWeightedMeans,Weighted-mean FA in tract acoustic radiation (right),-,38933
155,Brain,MRI,dMRIWeightedMeans,Weighted-mean FA in tract anterior thalamic radiation (left),-,38933
156,Brain,MRI,dMRIWeightedMeans,Weighted-mean FA in tract anterior thalamic radiation (right),-,38933
157,Brain,MRI,dMRIWeightedMeans,Weighted-mean FA in tract cingulate gyrus part of cingulum (left),-,38933
158,Brain,MRI,dMRIWeightedMeans,Weighted-mean FA in tract cingulate gyrus part of cingulum (right),-,38933
159,Brain,MRI,dMRIWeightedMeans,Weighted-mean FA in tract parahippocampal part of cingulum (left),-,38933
160,Brain,MRI,dMRIWeightedMeans,Weighted-mean FA in tract parahippocampal part of cingulum (right),-,38933
161,Brain,MRI,dMRIWeightedMeans,Weighted-mean FA in tract corticospinal tract (left),-,38933
162,Brain,MRI,dMRIWeightedMeans,Weighted-mean FA in tract corticospinal tract (right),-,38933
163,Brain,MRI,dMRIWeightedMeans,Weighted-mean FA in tract forceps major,-,38933
164,Brain,MRI,dMRIWeightedMeans,Weighted-mean FA in tract forceps minor,-,38933
165,Brain,MRI,dMRIWeightedMeans,Weighted-mean FA in tract inferior fronto-occipital fasciculus (left),-,38933
166,Brain,MRI,dMRIWeightedMeans,Weighted-mean FA in tract inferior fronto-occipital fasciculus (right),-,38933
167,Brain,MRI,dMRIWeightedMeans,Weighted-mean FA in tract inferior longitudinal fasciculus (left),-,38933
168,Brain,MRI,dMRIWeightedMeans,Weighted-mean FA in tract inferior longitudinal fasciculus (right),-,38933
169,Brain,MRI,dMRIWeightedMeans,Weighted-mean FA in tract middle cerebellar peduncle,-,38933
170,Brain,MRI,dMRIWeightedMeans,Weighted-mean FA in tract medial lemniscus (left),-,38933
171,Brain,MRI,dMRIWeightedMeans,Weighted-mean FA in tract medial lemniscus (right),-,38933
172,Brain,MRI,dMRIWeightedMeans,Weighted-mean FA in tract posterior thalamic radiation (left),-,38933
173,Brain,MRI,dMRIWeightedMeans,Weighted-mean FA in tract posterior thalamic radiation (right),-,38933
174,Brain,MRI,dMRIWeightedMeans,Weighted-mean FA in tract superior longitudinal fasciculus (left),-,38933
175,Brain,MRI,dMRIWeightedMeans,Weighted-mean FA in tract superior longitudinal fasciculus (right),-,38933
176,Brain,MRI,dMRIWeightedMeans,Weighted-mean FA in tract superior thalamic radiation (left),-,38933
177,Brain,MRI,dMRIWeightedMeans,Weighted-mean FA in tract superior thalamic radiation (right),-,38933
178,Brain,MRI,dMRIWeightedMeans,Weighted-mean FA in tract uncinate fasciculus (left),-,38933
179,Brain,MRI,dMRIWeightedMeans,Weighted-mean FA in tract uncinate fasciculus (right),-,38933
180,Brain,MRI,dMRIWeightedMeans,Weighted-mean MD in tract acoustic radiation (left),-,38933
181,Brain,MRI,dMRIWeightedMeans,Weighted-mean MD in tract acoustic radiation (right),-,38933
182,Brain,MRI,dMRIWeightedMeans,Weighted-mean MD in tract anterior thalamic radiation (left),-,38933
183,Brain,MRI,dMRIWeightedMeans,Weighted-mean MD in tract anterior thalamic radiation (right),-,38933
184,Brain,MRI,dMRIWeightedMeans,Weighted-mean MD in tract cingulate gyrus part of cingulum (left),-,38933
185,Brain,MRI,dMRIWeightedMeans,Weighted-mean MD in tract cingulate gyrus part of cingulum (right),-,38933
186,Brain,MRI,dMRIWeightedMeans,Weighted-mean MD in tract parahippocampal part of cingulum (left),-,38933
187,Brain,MRI,dMRIWeightedMeans,Weighted-mean MD in tract parahippocampal part of cingulum (right),-,38933
188,Brain,MRI,dMRIWeightedMeans,Weighted-mean MD in tract corticospinal tract (left),-,38933
189,Brain,MRI,dMRIWeightedMeans,Weighted-mean MD in tract corticospinal tract (right),-,38933
190,Brain,MRI,dMRIWeightedMeans,Weighted-mean MD in tract forceps major,-,38933
191,Brain,MRI,dMRIWeightedMeans,Weighted-mean MD in tract forceps minor,-,38933
192,Brain,MRI,dMRIWeightedMeans,Weighted-mean MD in tract inferior fronto-occipital fasciculus (left),-,38933
193,Brain,MRI,dMRIWeightedMeans,Weighted-mean MD in tract inferior fronto-occipital fasciculus (right),-,38933
194,Brain,MRI,dMRIWeightedMeans,Weighted-mean MD in tract inferior longitudinal fasciculus (left),-,38933
195,Brain,MRI,dMRIWeightedMeans,Weighted-mean MD in tract inferior longitudinal fasciculus (right),-,38933
196,Brain,MRI,dMRIWeightedMeans,Weighted-mean MD in tract middle cerebellar peduncle,-,38933
197,Brain,MRI,dMRIWeightedMeans,Weighted-mean MD in tract medial lemniscus (left),-,38933
198,Brain,MRI,dMRIWeightedMeans,Weighted-mean MD in tract medial lemniscus (right),-,38933
199,Brain,MRI,dMRIWeightedMeans,Weighted-mean MD in tract posterior thalamic radiation (left),-,38933
200,Brain,MRI,dMRIWeightedMeans,Weighted-mean MD in tract posterior thalamic radiation (right),-,38933
201,Brain,MRI,dMRIWeightedMeans,Weighted-mean MD in tract superior longitudinal fasciculus (left),-,38933
202,Brain,MRI,dMRIWeightedMeans,Weighted-mean MD in tract superior longitudinal fasciculus (right),-,38933
203,Brain,MRI,dMRIWeightedMeans,Weighted-mean MD in tract superior thalamic radiation (left),-,38933
204,Brain,MRI,dMRIWeightedMeans,Weighted-mean MD in tract superior thalamic radiation (right),-,38933
205,Brain,MRI,dMRIWeightedMeans,Weighted-mean MD in tract uncinate fasciculus (left),-,38933
206,Brain,MRI,dMRIWeightedMeans,Weighted-mean MD in tract uncinate fasciculus (right),-,38933
207,Brain,MRI,dMRIWeightedMeans,Weighted-mean MO in tract acoustic radiation (left),-,38933
208,Brain,MRI,dMRIWeightedMeans,Weighted-mean MO in tract acoustic radiation (right),-,38933
209,Brain,MRI,dMRIWeightedMeans,Weighted-mean MO in tract anterior thalamic radiation (left),-,38933
210,Brain,MRI,dMRIWeightedMeans,Weighted-mean MO in tract anterior thalamic radiation (right),-,38933
211,Brain,MRI,dMRIWeightedMeans,Weighted-mean MO in tract cingulate gyrus part of cingulum (left),-,38933
212,Brain,MRI,dMRIWeightedMeans,Weighted-mean MO in tract cingulate gyrus part of cingulum (right),-,38933
213,Brain,MRI,dMRIWeightedMeans,Weighted-mean MO in tract parahippocampal part of cingulum (left),-,38933
214,Brain,MRI,dMRIWeightedMeans,Weighted-mean MO in tract parahippocampal part of cingulum (right),-,38933
215,Brain,MRI,dMRIWeightedMeans,Weighted-mean MO in tract corticospinal tract (left),-,38933
216,Brain,MRI,dMRIWeightedMeans,Weighted-mean MO in tract corticospinal tract (right),-,38933
217,Brain,MRI,dMRIWeightedMeans,Weighted-mean MO in tract forceps major,-,38933
218,Brain,MRI,dMRIWeightedMeans,Weighted-mean MO in tract forceps minor,-,38933
219,Brain,MRI,dMRIWeightedMeans,Weighted-mean MO in tract inferior fronto-occipital fasciculus (left),-,38933
220,Brain,MRI,dMRIWeightedMeans,Weighted-mean MO in tract inferior fronto-occipital fasciculus (right),-,38933
221,Brain,MRI,dMRIWeightedMeans,Weighted-mean MO in tract inferior longitudinal fasciculus (left),-,38933
222,Brain,MRI,dMRIWeightedMeans,Weighted-mean MO in tract inferior longitudinal fasciculus (right),-,38933
223,Brain,MRI,dMRIWeightedMeans,Weighted-mean MO in tract middle cerebellar peduncle,-,38933
224,Brain,MRI,dMRIWeightedMeans,Weighted-mean MO in tract medial lemniscus (left),-,38933
225,Brain,MRI,dMRIWeightedMeans,Weighted-mean MO in tract medial lemniscus (right),-,38933
226,Brain,MRI,dMRIWeightedMeans,Weighted-mean MO in tract posterior thalamic radiation (left),-,38933
227,Brain,MRI,dMRIWeightedMeans,Weighted-mean MO in tract posterior thalamic radiation (right),-,38933
228,Brain,MRI,dMRIWeightedMeans,Weighted-mean MO in tract superior longitudinal fasciculus (left),-,38933
229,Brain,MRI,dMRIWeightedMeans,Weighted-mean MO in tract superior longitudinal fasciculus (right),-,38933
230,Brain,MRI,dMRIWeightedMeans,Weighted-mean MO in tract superior thalamic radiation (left),-,38933
231,Brain,MRI,dMRIWeightedMeans,Weighted-mean MO in tract superior thalamic radiation (right),-,38933
232,Brain,MRI,dMRIWeightedMeans,Weighted-mean MO in tract uncinate fasciculus (left),-,38933
233,Brain,MRI,dMRIWeightedMeans,Weighted-mean MO in tract uncinate fasciculus (right),-,38933
234,Brain,MRI,dMRIWeightedMeans,Weighted-mean L1 in tract acoustic radiation (left),-,38933
235,Brain,MRI,dMRIWeightedMeans,Weighted-mean L1 in tract acoustic radiation (right),-,38933
236,Brain,MRI,dMRIWeightedMeans,Weighted-mean L1 in tract anterior thalamic radiation (left),-,38933
237,Brain,MRI,dMRIWeightedMeans,Weighted-mean L1 in tract anterior thalamic radiation (right),-,38933
238,Brain,MRI,dMRIWeightedMeans,Weighted-mean L1 in tract cingulate gyrus part of cingulum (left),-,38933
239,Brain,MRI,dMRIWeightedMeans,Weighted-mean L1 in tract cingulate gyrus part of cingulum (right),-,38933
240,Brain,MRI,dMRIWeightedMeans,Weighted-mean L1 in tract parahippocampal part of cingulum (left),-,38933
241,Brain,MRI,dMRIWeightedMeans,Weighted-mean L1 in tract parahippocampal part of cingulum (right),-,38933
242,Brain,MRI,dMRIWeightedMeans,Weighted-mean L1 in tract corticospinal tract (left),-,38933
243,Brain,MRI,dMRIWeightedMeans,Weighted-mean L1 in tract corticospinal tract (right),-,38933
244,Brain,MRI,dMRIWeightedMeans,Weighted-mean L1 in tract forceps major,-,38933
245,Brain,MRI,dMRIWeightedMeans,Weighted-mean L1 in tract forceps minor,-,38933
246,Brain,MRI,dMRIWeightedMeans,Weighted-mean L1 in tract inferior fronto-occipital fasciculus (left),-,38933
247,Brain,MRI,dMRIWeightedMeans,Weighted-mean L1 in tract inferior fronto-occipital fasciculus (right),-,38933
248,Brain,MRI,dMRIWeightedMeans,Weighted-mean L1 in tract inferior longitudinal fasciculus (left),-,38933
249,Brain,MRI,dMRIWeightedMeans,Weighted-mean L1 in tract inferior longitudinal fasciculus (right),-,38933
250,Brain,MRI,dMRIWeightedMeans,Weighted-mean L1 in tract middle cerebellar peduncle,-,38933
251,Brain,MRI,dMRIWeightedMeans,Weighted-mean L1 in tract medial lemniscus (left),-,38933
252,Brain,MRI,dMRIWeightedMeans,Weighted-mean L1 in tract medial lemniscus (right),-,38933
253,Brain,MRI,dMRIWeightedMeans,Weighted-mean L1 in tract posterior thalamic radiation (left),-,38933
254,Brain,MRI,dMRIWeightedMeans,Weighted-mean L1 in tract posterior thalamic radiation (right),-,38933
255,Brain,MRI,dMRIWeightedMeans,Weighted-mean L1 in tract superior longitudinal fasciculus (left),-,38933
256,Brain,MRI,dMRIWeightedMeans,Weighted-mean L1 in tract superior longitudinal fasciculus (right),-,38933
257,Brain,MRI,dMRIWeightedMeans,Weighted-mean L1 in tract superior thalamic radiation (left),-,38933
258,Brain,MRI,dMRIWeightedMeans,Weighted-mean L1 in tract superior thalamic radiation (right),-,38933
259,Brain,MRI,dMRIWeightedMeans,Weighted-mean L1 in tract uncinate fasciculus (left),-,38933
260,Brain,MRI,dMRIWeightedMeans,Weighted-mean L1 in tract uncinate fasciculus (right),-,38933
261,Brain,MRI,dMRIWeightedMeans,Weighted-mean L2 in tract acoustic radiation (left),-,38933
262,Brain,MRI,dMRIWeightedMeans,Weighted-mean L2 in tract acoustic radiation (right),-,38933
263,Brain,MRI,dMRIWeightedMeans,Weighted-mean L2 in tract anterior thalamic radiation (left),-,38933
264,Brain,MRI,dMRIWeightedMeans,Weighted-mean L2 in tract anterior thalamic radiation (right),-,38933
265,Brain,MRI,dMRIWeightedMeans,Weighted-mean L2 in tract cingulate gyrus part of cingulum (left),-,38933
266,Brain,MRI,dMRIWeightedMeans,Weighted-mean L2 in tract cingulate gyrus part of cingulum (right),-,38933
267,Brain,MRI,dMRIWeightedMeans,Weighted-mean L2 in tract parahippocampal part of cingulum (left),-,38933
268,Brain,MRI,dMRIWeightedMeans,Weighted-mean L2 in tract parahippocampal part of cingulum (right),-,38933
269,Brain,MRI,dMRIWeightedMeans,Weighted-mean L2 in tract corticospinal tract (left),-,38933
270,Brain,MRI,dMRIWeightedMeans,Weighted-mean L2 in tract corticospinal tract (right),-,38933
271,Brain,MRI,dMRIWeightedMeans,Weighted-mean L2 in tract forceps major,-,38933
272,Brain,MRI,dMRIWeightedMeans,Weighted-mean L2 in tract forceps minor,-,38933
273,Brain,MRI,dMRIWeightedMeans,Weighted-mean L2 in tract inferior fronto-occipital fasciculus (left),-,38933
274,Brain,MRI,dMRIWeightedMeans,Weighted-mean L2 in tract inferior fronto-occipital fasciculus (right),-,38933
