,Main dimension,Subdimension,Sub-subdimension,CorrelationVersusElasticNet,CorrelationVersusLightGBM,CorrelationVersusNeuralNetwork,ElasticNetVersusLightGBM,ElasticNetVersusNeuralNetwork,LightGBMVersusNeuralNetwork,Correlation_ElasticNet,Correlation_LightGBM,Correlation_NeuralNetwork,ElasticNet_LightGBM,ElasticNet_NeuralNetwork,LightGBM_NeuralNetwork,Organ,Transformation,View
63,,,,,,,,,,0.671,0.38,0.721,0.821,0.724,0.505,Arterial,Scalars,BloodPressure
64,,,,,,,,,,0.552,0.912,-0.058,0.779,0.241,0.07,Arterial,Scalars,Carotids
65,,,,,,,,,,0.759,0.366,0.374,0.292,0.014,0.646,Arterial,Scalars,PWA
66,,,,,,,,,,0.171,0.35,-0.093,0.566,0.411,0.589,Arterial,Scalars,All
67,,,,,,,,,,0.396,0.478,0.445,0.662,0.813,0.581,Heart,Scalars,All
68,,,,,,,,,,,0.453,0.433,,,0.434,Heart,Size,MRI
69,,,,,,,,,,0.607,0.648,0.415,0.655,0.868,0.56,Heart,PWA,MRI
70,,,,,,,,,,0.871,0.536,0.073,0.361,0.02,-0.156,Heart,AllScalars,MRI
71,,,,,,,,,,0.764,0.656,0.154,0.728,0.26,0.128,Heart,Scalars,ECG
72,,,,,,,,,,0.535,0.043,0.72,0.385,0.344,0.032,Musculoskeletal,Impedance,Scalars
73,,,,,,,,,,0.402,0.361,0.389,0.712,0.648,0.288,Musculoskeletal,Anthropometry,Scalars
74,,,,,,,,,,0.611,0.699,0.418,0.499,0.446,0.033,Musculoskeletal,HeelBoneDensitometry,Scalars
75,,,,,,,,,,0.581,0.837,0.49,0.706,0.584,0.277,Musculoskeletal,HandGripStrength,Scalars
76,,,,,,,,,,0.337,0.352,0.241,0.588,0.495,0.213,Musculoskeletal,AllScalars,Scalars
77,,,,,,,,,,0.595,0.406,0.143,0.601,0.185,-0.102,Biochemistry,Scalars,Blood
78,,,,,,,,,,0.721,0.508,0.491,0.821,0.257,0.073,Biochemistry,Scalars,Urine
79,,,,,,,,,,0.604,0.444,0.248,0.587,0.66,0.291,Biochemistry,Scalars,All
80,,,,,,,,,,0.322,0.228,0.407,0.43,0.075,-0.099,ImmuneSystem,Scalars,BloodCount
81,,,,,,,,,,0.067,0.184,0.05,0.674,0.737,0.621,PhysicalActivity,Scalars,FullWeek
